Median gap,Number of companies
86 to 84,2
82 to 80,3
78 to 76,1
76 to 74,2
62 to 60,2
58 to 56,1
56 to 54,3
54 to 52,1
52 to 50,3
50 to 48,1
48 to 46,1
46 to 44,3
44 to 42,2
42 to 40,2
40 to 38,2
38 to 36,1
36 to 34,5
34 to 32,9
32 to 30,7
30 to 28,12
28 to 26,9
26 to 24,8
24 to 22,14
22 to 20,26
20 to 18,22
18 to 16,28
16 to 14,34
14 to 12,44
12 to 10,53
10 to 8,82
8 to 6,87
6 to 4,122
4 to 2,186
2 to 0,290
0 to 2,1214
2 to 4,506
4 to 6,402
6 to 8,402
8 to 10,393
10 to 12,337
12 to 14,331
14 to 16,319
16 to 18,271
18 to 20,273
20 to 22,236
22 to 24,217
24 to 26,186
26 to 28,185
28 to 30,163
30 to 32,152
32 to 34,130
34 to 36,99
36 to 38,88
38 to 40,80
40 to 42,55
42 to 44,62
44 to 46,54
46 to 48,37
48 to 50,30
50 to 52,25
52 to 54,16
54 to 56,19
56 to 58,10
58 to 60,8
60 to 62,8
62 to 64,6
64 to 66,5
66 to 68,3
68 to 70,3
70 to 72,2
72 to 74,1
74 to 76,1
78 to 80,1
