Region,Local authority,High ,Medium ,Low 
North Wales ,Isle of Anglesey ,87,239,177
North Wales ,Gwynedd ,236,145,2814
North Wales ,Conwy ,87,50,9698
North Wales ,Denbighshire ,2,0,8303
North Wales ,Flintshire ,10,229,7240
North Wales ,Wrexham ,0,1,0
Mid & South West Wales ,Powys ,0,0,0
Mid & South West Wales ,Ceredigion ,62,446,330
Mid & South West Wales ,Pembrokeshire ,115,65,161
Mid & South West Wales ,Carmarthenshire ,447,317,1893
Mid & South West Wales ,Swansea ,5,58,850
Mid & South West Wales ,Neath Port Talbot ,227,2835,708
South East Wales ,Bridgend ,269,93,342
South East Wales ,Vale of Glamorgan ,144,25,325
South East Wales ,Cardiff ,2,98,13695
South East Wales ,Rhondda Cynon Taf ,0,0,0
South East Wales ,Merthyr Tydfil ,0,0,0
South East Wales ,Caerphilly ,0,0,0
South East Wales ,Blaenau Gwent ,0,0,0
South East Wales ,Torfaen ,0,0,0
South East Wales ,Monmouthshire ,180,738,586
South East Wales ,Newport ,428,49,16231
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
