Industry,West Wales and the Valleys,East Wales,Wales (Total)
"Agriculture, forestry and fishing ",25000,16000,41100
Production ,94500,71200,165700
Construction ,62300,39500,101800
"Wholesale, retail, transport, hotels and food ",205000,142600,347600
Information and communication ,14500,17000,31500
Finance and insurance activities ,12500,23000,35500
Real estate activities ,13600,11600,25200
"Professional, scientific and technical activities; administrative and support service activities ",86000,101100,187100
"Public administration, defence, education and health ",257700,177200,434900
Other service activities ,43300,38500,81800
