Local authority,Q1 2015-16 ,Q2 2015-16 ,Q3 2015-16 ,Q4 2015-16 ,Q1 2016-17 ,Q2 2016-17 ,Q3 2016-17 ,Q4 2016-17 ,Q1 2018-19 ,Q2 2018-19 ,Q3 2018-19 ,Q4 2018-19 
Isle of Anglesey ,0,0,1,1,1,1,1,2,1,3,1,5
Gwynedd ,19,16,7,9,8,8,9,3,12,15,12,13
Conwy ,12,10,9,9,2,14,18,20,10,11,10,8
Denbighshire ,6,3,4,5,8,5,4,6,9,10,14,9
Flintshire ,63,64,80,34,58,39,53,40,21,45,56,25
Wrexham ,14,7,8,12,15,15,12,12,4,13,20,10
Powys ,2,5,2,2,1,1,0,1,7,2,4,1
Ceredigion ,0,2,0,2,1,1,1,0,1,0,4,0
Pembrokeshire ,15,7,17,6,6,15,12,10,12,13,17,2
Carmarthenshire ,36,26,51,21,57,36,65,25,38,16,39,11
Swansea ,24,16,30,17,53,19,39,17,29,16,22,17
Neath Port Talbot ,36,10,31,16,24,13,20,9,10,12,7,4
Bridgend ,44,24,45,41,58,31,52,26,66,58,92,20
Vale of Glamorgan ,48,39,56,17,64,37,64,13,65,20,37,17
Cardiff ,5,15,12,9,13,13,12,7,69,47,156,32
Rhondda Cynon Taf ,44,39,50,21,37,35,36,20,11,24,41,15
Merthyr Tydfil ,10,8,8,7,15,9,11,8,0,2,1,0
Caerphilly ,25,17,20,4,7,10,8,9,6,9,4,9
Blaenau Gwent ,0,1,3,0,1,2,5,0,1,1,1,1
Torfaen ,4,2,7,3,8,7,14,4,38,30,49,14
Monmouthshire ,5,1,4,2,6,9,14,6,12,7,19,9
Newport ,77,60,108,59,124,84,108,89,93,51,71,30
